INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
OGDEN AND KOSTNER,2222,2348 S KOSTNER AVENUE,9/23/2014,4,1147394.548,1887795.178,41.84806885,-87.73454746,"(41.8480688449598, -87.73454745748458)"
4700 WESTERN,2141,4700 S WESTERN AVENUE,10/11/2014,8,1161120.439,1873431.066,41.80837841,-87.68457072,"(41.808378407946726, -87.68457071689552)"
CICERO AND NORTH,2033,4800 W NORTH AVENUE,8/14/2014,4,1144053.734,1910243.806,41.90973389,-87.74624497,"(41.909733890131285, -87.74624497295898)"
HALSTED AND 103RD,2593,800 W 103RD STREET,8/6/2014,5,1172778.571,1836587.755,41.70702632,-87.64289601,"(41.707026319812215, -87.64289600741817)"
SHERIDAN AND FOSTER,1132,5200 N SHERIDAN ROAD,8/19/2014,1,1168661.624,1934753.842,41.97649272,-87.65513361,"(41.97649272077833, -87.65513360456677)"
LAKE SHORE DR AND BELMONT,1413,400 W BELMONT AVE,10/12/2014,10,1172981.745,1921577.376,41.94024119,-87.63963911,"(41.94024119325571, -87.63963911427594)"
WESTERN AND FOSTER,1072,5200 N WESTERN AVE,8/30/2014,6,1159372.922,1934478.314,41.97593337,-87.68929959,"(41.97593337199358, -87.6892995891816)"
WESTERN AND 63RD,2373,2400 W 63RD ST,7/27/2014,4,1161444.416,1862848.535,41.77933184,-87.68367576,"(41.77933184429814, -87.68367576084798)"
STONEY ISLAND AND 79TH,2461,7900 S SOUTH CHICAGO AVE,8/29/2014,1,1188274.655,1852865.686,41.75133971,-87.58563227,"(41.751339704589455, -87.58563226565187)"
CICERO AND WASHINGTON,1891,100 N CICERO AVENUE,8/22/2014,8,1144328.984,1900095.171,41.88187971,-87.74548925,"(41.88187970991601, -87.7454892473012)"
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,9/18/2014,8,,,,,
83RD AND STONY ISLAND,2562,8300 S STONY ISLAND A,9/11/2014,12,1188212.052,1850245.675,41.74415164,-87.58594507,"(41.744151639041974, -87.58594506695293)"
CHICAGO AND CLARK,1963,100 W CHICAGO AVENUE,7/6/2014,11,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
HAMLIN AND LAKE,1882,300 N HAMLIN AVENUE,9/24/2014,2,1150970.027,1901381.688,41.88528264,-87.72106954,"(41.88528263580913, -87.72106953854511)"
WESTERN AND TOUHY,1251,7200 N WESTERN AVENUE,7/20/2014,3,1158975.663,1947754.287,42.01237134,-87.69039392,"(42.012371334791766, -87.69039391737863)"
HALSTED AND FULLERTON,1704,800 W FULLERTON AVENUE,12/11/2014,3,1170525.625,1916208.444,41.92556279,-87.64882364,"(41.92556279107417, -87.64882364145232)"
ASHLAND AND ARCHER,2301,3100 S ASHLAND AVENUE,8/28/2014,6,1166131.325,1884126.425,41.83762234,-87.66588718,"(41.83762234415814, -87.66588718054551)"
FOSTER AND BROADWAY,1111,5200 N BROADWAY ST,8/12/2014,3,1167334.509,1934714.008,41.97641214,-87.66001508,"(41.97641214294823, -87.66001508205365)"
75TH AND STATE,2624,1 E 75TH STREET,8/16/2014,11,1177601.726,1855229.487,41.75807411,-87.62467166,"(41.75807411097799, -87.62467165835182)"
KEDZIE AND 71ST,2352,7100 S KEDZIE AVENUE,10/8/2014,1,1156225.54,1857330.103,41.76429504,-87.70295716,"(41.764295036756856, -87.70295716211793)"
55TH AND WESTERN,2212,5500 S WESTERN AVE,10/9/2014,7,1161269.521,1867963.112,41.79337055,-87.68417538,"(41.79337055433029, -87.6841753767592)"
FOSTER AND NAGLE,1034,6400 W FOSTER,8/6/2014,9,1132552.893,1934229.876,41.97576257,-87.7879343,"(41.97576257447203, -87.7879342955108)"
HARLEM AND BELMONT,1394,7200 W BELMONT AVE,8/18/2014,2,1127504.698,1920475.415,41.93810548,-87.80680955,"(41.93810547939496, -87.80680955240743)"
KEDZIE AND 31ST,2132,3100 S KEDZIE AVENUE,10/15/2014,4,1155483.168,1883867.661,41.83713267,-87.70496712,"(41.837132671422296, -87.70496711478727)"
CENTRAL AND ADDISON,1682,3600 N CENTRAL AVENUE,9/5/2014,2,1138343.117,1923392.067,41.94591949,-87.76690459,"(41.945919490555106, -87.76690459426293)"
DAMEN AND DIVERSEY,1464,2000 W DIVERSEY PARKWAY,8/26/2014,3,1162519.715,1918635.418,41.93239416,-87.67817303,"(41.93239416403691, -87.67817303087757)"
83RD AND STONY ISLAND,2562,8300 S STONY ISLAND A,8/24/2014,12,1188212.052,1850245.675,41.74415164,-87.58594507,"(41.744151639041974, -87.58594506695293)"
CICERO AND 47TH,2202,4700 S CICERO AVE,9/27/2014,1,1145112.15,1873006.66,41.80753037,-87.74329682,"(41.80753037289406, -87.7432968212423)"
CENTRAL AND CHICAGO,1973,5600 W CHICAGO AVENUE,8/11/2014,2,1138858.857,1904825.828,41.89496229,-87.76546079,"(41.89496229349977, -87.76546079122906)"
CICERO AND NORTH,2034,4800 W NORTH AVENUE,9/28/2014,2,1144053.734,1910243.806,41.90973389,-87.74624497,"(41.909733890131285, -87.74624497295898)"
CICERO AND ADDISON,1611,3600 N CICERO AVENUE,10/1/2014,3,1143698.905,1923517.006,41.94616352,-87.74721517,"(41.94616352362556, -87.74721516897007)"
CICERO AND WASHINGTON,1891,100 N CICERO AVENUE,10/10/2014,10,1144328.984,1900095.171,41.88187971,-87.74548925,"(41.88187970991601, -87.7454892473012)"
CICERO AND WASHINGTON,1892,100 N CICERO AVENUE,10/2/2014,8,1144328.984,1900095.171,41.88187971,-87.74548925,"(41.88187970991601, -87.7454892473012)"
LASALLE AND KINZIE,1923,140 W KINZIE,10/12/2014,1,1175048.098,1903028.895,41.88929722,-87.63260165,"(41.88929721947309, -87.63260164817305)"
KEDZIE AND 47TH,2104,3200 W 47TH ST,8/20/2014,5,1155815.232,1873336.17,41.80822625,-87.70403167,"(41.808226246244026, -87.70403167215984)"
CALIFORNIA AND DEVON,1323,2800 W DEVON AVENUE,9/24/2014,1,1156484.528,1942377.981,41.99766952,-87.69970642,"(41.99766952286052, -87.69970642324591)"
KOSTNER AND NORTH,2013,4400 W NORTH,8/4/2014,6,1146738.552,1910309.595,41.90986357,-87.7363803,"(41.90986357340246, -87.73638029605371)"
MILWAUKEE AND DEVON,1274,6400 W DEVON AVENUE,8/10/2014,4,1132590.62,1942138.532,41.99746398,-87.78761024,"(41.99746398102873, -87.78761024341388)"
ROOSEVELT AND PULASKI,2311,1200 S PULASKI ROAD,7/7/2014,2,1149866.002,1894375.839,41.86607934,-87.725306,"(41.86607933722178, -87.7253059948758)"
HALSTED AND FULLERTON,1701,2400 N HALSTED STREET,9/18/2014,2,1170501.603,1916200.062,41.92554032,-87.64891216,"(41.925540315431995, -87.64891215551155)"
ASHLAND AND 87TH,2452,8700 S ASHLAND AVE,7/29/2014,3,1167150.47,1846991.212,41.73569699,-87.66320954,"(41.73569698863625, -87.66320954445679)"
DIVERSEY AND AUSTIN,1454,6000 W DIVERSEY AVENUE,9/22/2014,5,1135895.736,1918029.707,41.93124862,-87.77602861,"(41.931248623643455, -87.77602861172493)"
PULASKI AND DIVERSEY,1542,2800 N PULASKI ROAD,8/26/2014,1,1149200.725,1918332.223,41.93183103,-87.72712687,"(41.93183102561505, -87.72712687300454)"
CICERO AND 47TH,2204,4800 W 47TH ST,9/10/2014,14,1145130.049,1873078.442,41.80772702,-87.74322937,"(41.80772701677172, -87.74322936566276)"
CERMAK AND PULASKI,2332,2200 S PULASKI,9/27/2014,2,1150012.877,1889071.759,41.85152144,-87.72490479,"(41.85152144233116, -87.7249047867499)"
HOMAN/KIMBALL AND NORTH,1773,3400 W NORTH AVE,9/18/2014,4,1153386.579,1910465.871,41.91016285,-87.71195387,"(41.91016284680269, -87.71195386769125)"
PULASKI AND PETERSON,1262,6000 N PULASKI ROAD,7/16/2014,8,1148598.017,1939584.646,41.99016092,-87.72879075,"(41.99016092280557, -87.72879074759867)"
FOSTER AND BROADWAY,1111,5200 N BROADWAY ST,8/13/2014,7,1167334.509,1934714.008,41.97641214,-87.66001508,"(41.97641214294823, -87.66001508205365)"
CHICAGO AND CLARK,1963,100 W CHICAGO AVENUE,9/9/2014,7,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
ASHLAND AND 47TH,2192,4700 S ASHLAND AVENUE,9/22/2014,3,1166423.624,1873520.235,41.8085116,-87.66511729,"(41.8085115972472, -87.66511729173287)"
SACRAMENTO AND LAKE,1821,150 N SACRAMENTO BOUL,7/3/2014,8,1156319.561,1900957.489,41.88401218,-87.70143648,"(41.88401217771363, -87.7014364786693)"
ASHLAND AND 95TH,2473,1600 W 95TH STREET,10/2/2014,1,1167323.753,1841755.029,41.72132441,-87.66272415,"(41.721324411975246, -87.66272415265087)"
JEFFERY AND 95TH,2523,2000 E 95TH ST,7/15/2014,2,1191188.381,1842410.412,41.72257947,-87.57529252,"(41.722579473126416, -87.57529252250366)"
DAMEN AND DIVERSEY,1462,2800 N DAMEN AVENUE,10/14/2014,2,1162490.049,1918611.624,41.93232949,-87.67828272,"(41.9323294940985, -87.67828271931386)"
PULASKI AND NORTH,1994,4000 W NORTH AVENUE,7/26/2014,6,1149456.269,1910376.774,41.90999558,-87.72639469,"(41.90999558160536, -87.72639469321471)"
HARLEM AND BELMONT,1391,3200 N HARLEM AVE,9/10/2014,2,1127481.021,1920467.613,41.93808447,-87.80689675,"(41.93808446822169, -87.80689674887883)"
DAMEN AND 63RD,2702,6300 S DAMEN AVENUE,8/1/2014,4,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
ELSTON AND FOSTER,1062,5200 N ELSTON AVENUE,7/27/2014,1,1142327.864,1934110.318,41.9752581,-87.75199056,"(41.97525809526954, -87.75199055715778)"
PULASKI AND DIVERSEY,1542,2800 N PULASKI ROAD,10/14/2014,2,1149200.725,1918332.223,41.93183103,-87.72712687,"(41.93183102561505, -87.72712687300454)"
99TH AND HALSTED,2431,9900 S HALSTED ST,7/6/2014,13,1172689.754,1839171.652,41.71411887,-87.64314541,"(41.714118868089905, -87.64314540818165)"
CHICAGO AND CLARK,1964,100 W CHICAGO AVENUE,10/10/2014,1,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
ELSTON AND LAWRENCE,1284,4440 W LAWRENCE AVENUE,8/27/2014,1,1145715.061,1931571.047,41.9682264,-87.73959925,"(41.96822639754791, -87.73959925065756)"
COTTAGE GROVE AND 71ST,2571,7100 S COTTAGE GROVE,8/7/2014,1,1182746.237,1858088.011,41.76580035,-87.60572913,"(41.76580035131893, -87.6057291269901)"
55TH AND WESTERN,2213,2400 W 55TH STREET,7/6/2014,4,1161277.013,1868185.749,41.79398135,-87.68414174,"(41.7939813465735, -87.68414174128355)"
KIMBALL AND DIVERSEY,1583,3400 W DIVERSEY AVENUE,8/13/2014,4,1153211.149,1918454.478,41.93208775,-87.71238583,"(41.932087747378944, -87.71238582951281)"
KOSTNER AND NORTH,2013,4400 W NORTH,7/23/2014,7,1146738.552,1910309.595,41.90986357,-87.7363803,"(41.90986357340246, -87.73638029605371)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,9/24/2014,9,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
MILWAUKEE AND DEVON,1274,6400 W DEVON AVENUE,9/12/2014,18,1132590.62,1942138.532,41.99746398,-87.78761024,"(41.99746398102873, -87.78761024341388)"
IRVING PARK AND KEDZIE,1354,3200 W IRVING PARK ROAD,8/6/2014,4,1154325.14,1926458.463,41.95402905,-87.70807749,"(41.95402904691877, -87.70807749383191)"
WESTERN AND 79TH,2484,2400 W 79TH ST,7/14/2014,1,1161758.681,1852242.256,41.75022017,-87.68281769,"(41.75022016799851, -87.68281769253687)"
CENTRAL AND BELMONT,1604,5600 W BELMONT AVENUE,7/12/2014,1,1138453.617,1920755.973,41.93868378,-87.76656249,"(41.93868377475747, -87.76656249384537)"
CALIFORNIA AND PETERSON,1313,2800 W PETERSON AVENUE,8/16/2014,5,1156569.515,1939784.831,41.99055208,-87.6994644,"(41.990552081681564, -87.69946439622785)"
CORTLAND AND ASHLAND,1723,1600 W CORTLAND ST,8/17/2014,8,1165377.661,1912768.774,41.91623534,-87.66783777,"(41.91623533746878, -87.66783777212962)"
LINCOLN AND MCCORMICK,2751,6200 N LINCOLN AVENUE,9/14/2014,3,1152551.009,1941175.933,41.99445,-87.71420844,"(41.9944500041165, -87.71420843920934)"
STONY ISLAND/CORNELL AND 67TH,2731,6700 S CORNELL DRIVE,8/17/2014,3,1188316.455,1860851.137,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)"
MONTROSE AND WESTERN,1224,2400 W MONTROSE AVENUE,8/3/2014,1,1159562.972,1929191.338,41.96142173,-87.68874698,"(41.961421726406314, -87.68874697983858)"
TOUHY AND OSCEOLA,1243,7432 W TOUHY AVENUE,10/1/2014,2,1125717.011,1947269.685,42.01166177,-87.81278143,"(42.01166176507329, -87.81278143114147)"
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,9/18/2014,2,,,,,
LARAMIE AND MADISON,2044,5200 W MADISON STREET,9/3/2014,9,1141706.966,1899567.557,41.88048075,-87.75513043,"(41.88048075170171, -87.75513043296509)"
COTTAGE GROVE AND 71ST,2571,7100 S COTTAGE GROVE,9/16/2014,1,1182746.237,1858088.011,41.76580035,-87.60572913,"(41.76580035131893, -87.6057291269901)"
KEDZIE AND 26TH,2382,2600 S KEDZIE AVENUE,7/10/2014,1,1155404.236,1886524.46,41.84442483,-87.70518545,"(41.84442483084393, -87.70518545233183)"
MILWAUKEE AND MONTROSE,1362,4400 N MILWAUKEE AVEN,10/9/2014,2,1141643.943,1928770.256,41.96061723,-87.75463824,"(41.9606172296957, -87.75463824007085)"
CENTRAL AND BELMONT,1602,3200 N CENTRAL AVENUE,7/16/2014,1,1138430.432,1920731.654,41.93861746,-87.7666483,"(41.938617463272884, -87.76664829683827)"
83RD AND STONY ISLAND,2562,8300 S STONY ISLAND A,8/8/2014,22,1188212.052,1850245.675,41.74415164,-87.58594507,"(41.744151639041974, -87.58594506695293)"
CICERO AND ARMITAGE,2003,4800 W ARMITAGE AVENUE,9/29/2014,1,1144054.251,1912907.009,41.91704199,-87.7461761,"(41.91704199201953, -87.74617609464687)"
CHICAGO AND CLARK,1963,100 W CHICAGO AVENUE,10/2/2014,9,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
ELSTON AND ADDISON,1403,3216 W ADDISON ST,9/23/2014,8,1154199.73,1923799.345,41.94673476,-87.70860977,"(41.946734754927796, -87.7086097735515)"
PULASKI AND ARCHER,2153,5000 S ARCHER AVE,7/20/2014,5,1150501.819,1871162.312,41.80236597,-87.72357677,"(41.80236597333895, -87.72357676611004)"
ELSTON AND FOSTER,1063,4932 W FOSTER AVENUE,7/2/2014,2,1142393.864,1934160.514,41.97539461,-87.7517466,"(41.975394608045924, -87.75174659886025)"
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,8/17/2014,2,,,,,
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,9/10/2014,1,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
CENTRAL AND BELMONT,1604,5600 W BELMONT AVENUE,9/2/2014,2,1138453.617,1920755.973,41.93868378,-87.76656249,"(41.93868377475747, -87.76656249384537)"
ROOSEVELT AND HALSTED,2233,800 W ROOSEVELT ROAD,10/1/2014,12,1171199.282,1894968.056,41.8672631,-87.64697269,"(41.86726309836901, -87.64697268601648)"
WESTERN AND 79TH,2484,2400 W 79TH ST,8/4/2014,1,1161758.681,1852242.256,41.75022017,-87.68281769,"(41.75022016799851, -87.68281769253687)"
MILWAUKEE AND DEVON,1272,6400 N MILWAUKEE AVEN,9/20/2014,5,1132463.75,1942107.912,41.99738217,-87.78807767,"(41.99738217345368, -87.78807767391953)"
CORNELL DRIVE AND 57TH,2182,5700 S CORNELL DRIVE,7/8/2014,25,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
119TH AND HALSTED,2402,11900 S HALSTED,10/8/2014,7,1173094.775,1825911.055,41.67772083,-87.64205185,"(41.67772082924762, -87.64205184498218)"
CORNELL DRIVE AND 57TH,2181,5700 S CORNELL DRIVE,8/10/2014,25,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
HOLLYWOOD AND SHERIDAN,1343,1000 W HOLLYWOOD AVE,10/11/2014,7,1168580.229,1938090.295,41.9856498,-87.65533581,"(41.98564979859328, -87.65533580655139)"
CHICAGO AND CLARK,1964,100 W CHICAGO AVENUE,8/10/2014,7,1175374.529,1905745.478,41.89674435,-87.63132125,"(41.896744346875806, -87.63132124815151)"
CICERO AND HARRISON,2023,4800 W HARRISON STREET,9/6/2014,3,1144451.867,1896949.562,41.87324546,-87.74511718,"(41.873245464379586, -87.7451171788807)"
79TH AND KEDZIE,2443,3200 W 79TH ST,9/17/2014,3,1156402.645,1852104.649,41.749952,-87.70244848,"(41.74995200142266, -87.70244847808695)"
ASHLAND AND 87TH,2454,1600 W 87TH ST,7/24/2014,10,1167171.941,1847064.855,41.73589862,-87.66312878,"(41.735898617066006, -87.66312878090133)"
SHERIDAN AND FOSTER,1134,1000 W FOSTER AVE,9/5/2014,3,1168689.248,1934758.578,41.97650512,-87.65503188,"(41.97650511595711, -87.65503188224778)"
COTTAGE GROVE AND 71ST,2571,7100 S COTTAGE GROVE,9/22/2014,1,1182746.237,1858088.011,41.76580035,-87.60572913,"(41.76580035131893, -87.6057291269901)"
ROOSEVELT AND PULASKI,2314,4000 W ROOSEVELT ROAD,10/6/2014,3,1149885.032,1894449.464,41.866281,-87.72523422,"(41.866281002664536, -87.72523421983905)"
PULASKI AND FOSTER,1104,4000 W FOSTER AVE,8/12/2014,4,1148759.161,1934294.249,41.97564062,-87.72833547,"(41.975640616231914, -87.72833546926573)"
CORNELL DRIVE AND 57TH,2182,5700 S CORNELL DRIVE,9/9/2014,8,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
LARAMIE AND MADISON,2044,5200 W MADISON STREET,8/27/2014,12,1141706.966,1899567.557,41.88048075,-87.75513043,"(41.88048075170171, -87.75513043296509)"
CICERO AND NORTH,2033,4800 W NORTH AVENUE,10/7/2014,4,1144053.734,1910243.806,41.90973389,-87.74624497,"(41.909733890131285, -87.74624497295898)"
ELSTON AND LAWRENCE,1284,4440 W LAWRENCE AVENUE,9/10/2014,12,1145715.061,1931571.047,41.9682264,-87.73959925,"(41.96822639754791, -87.73959925065756)"
MILWAUKEE AND MONTROSE,1364,5075 W MONTROSE AVENUE,9/4/2014,5,1141716.747,1928736.077,41.96052209,-87.75437142,"(41.96052208819935, -87.75437142402293)"
FULLERTON AND NARRAGANSETT,1554,6400 W FULLERTON AVENU,10/7/2014,2,1133317.594,1915293.661,41.92378619,-87.78556721,"(41.92378618871128, -87.78556720562165)"
CICERO AND HARRISON,2023,4800 W HARRISON STREET,7/19/2014,1,1144451.867,1896949.562,41.87324546,-87.74511718,"(41.873245464379586, -87.7451171788807)"
PULASKI AND ARMITAGE,1844,4000 W ARMITAGE AVENUE,9/16/2014,1,1149375.429,1913028.984,41.91727507,-87.72662275,"(41.91727506940875, -87.72662274644799)"
CICERO AND WASHINGTON,1892,100 N CICERO AVENUE,7/16/2014,11,1144328.984,1900095.171,41.88187971,-87.74548925,"(41.88187970991601, -87.7454892473012)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,7/19/2014,4,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
PULASKI AND MONTROSE,1294,4000 W MONTROSE AVENUE,8/10/2014,1,1148917.522,1928980.339,41.9610558,-87.72789121,"(41.96105580370759, -87.72789120598296)"
LARAMIE AND FULLERTON,1424,5200 W FULLERTON AVENUE,9/14/2014,1,1141305.555,1915502.611,41.9242158,-87.75621076,"(41.92421579723144, -87.75621075458939)"
LAKE SHORE DR AND BELMONT,1412,3200 N LAKESHORE DRIV,8/4/2014,3,1173053.221,1921821.381,41.94090916,-87.63936916,"(41.94090916326764, -87.63936915995522)"
ASHLAND AND 63RD,2683,1600 W 63RD STREET,9/30/2014,1,1166730.185,1862976.01,41.77957044,-87.66429388,"(41.77957043618697, -87.66429387512882)"
LINCOLN AND MCCORMICK,2751,6200 N LINCOLN AVENUE,8/18/2014,25,1152551.009,1941175.933,41.99445,-87.71420844,"(41.9944500041165, -87.71420843920934)"
BLUE ISLAND AND DAMEN,2283,2416 S BLUE ISLAND AV,8/14/2014,6,1163271.403,1888053.313,41.84845863,-87.67627127,"(41.848458633352884, -87.67627126912292)"
PULASKI AND ARMITAGE,1843,4000 W ARMITAGE AVENUE,9/4/2014,8,1149375.429,1913028.984,41.91727507,-87.72662275,"(41.91727506940875, -87.72662274644799)"
KEDZIE AND 63RD,2364,3200 W 63RD ST,9/28/2014,5,1156103.349,1862717.565,41.77908151,-87.70326037,"(41.77908150488341, -87.70326036544745)"
ASHLAND AND 95TH,2473,1600 W 95TH STREET,8/22/2014,2,1167323.753,1841755.029,41.72132441,-87.66272415,"(41.721324411975246, -87.66272415265087)"
WESTERN AND DEVON,1212,6400 N WESTERN AVENUE,9/25/2014,1,1159113.586,1942451.622,41.99781781,-87.69003304,"(41.997817807026, -87.69003303469276)"
83RD AND STONY ISLAND,2562,8300 S STONY ISLAND A,10/3/2014,13,1188212.052,1850245.675,41.74415164,-87.58594507,"(41.744151639041974, -87.58594506695293)"
WESTERN AND 71ST,2614,2400 W 71ST STREET,7/5/2014,2,1161584.507,1857557.789,41.76481039,-87.68330877,"(41.76481038827884, -87.68330876944678)"
ELSTON AND FOSTER,1063,4932 W FOSTER AVENUE,10/9/2014,7,1142393.864,1934160.514,41.97539461,-87.7517466,"(41.975394608045924, -87.75174659886025)"
CICERO AND WASHINGTON,1891,100 N CICERO AVENUE,8/7/2014,7,1144328.984,1900095.171,41.88187971,-87.74548925,"(41.88187970991601, -87.7454892473012)"
KEDZIE AND 31ST,2134,3200 W 31ST STREET,9/15/2014,1,1155487.128,1883943.061,41.8373395,-87.70495056,"(41.83733950029648, -87.70495055800411)"
LAFAYETTE AND 87TH,2503,30 W 87TH STREET,10/2/2014,11,1177407.652,1847320.772,41.73637604,-87.62562131,"(41.736376036604916, -87.62562131092602)"
ROOSEVELT AND HALSTED,2233,800 W ROOSEVELT ROAD,7/6/2014,4,1171199.282,1894968.056,41.8672631,-87.64697269,"(41.86726309836901, -87.64697268601648)"
KOSTNER AND NORTH,2011,1600 N KOSTNER,8/22/2014,2,1146732.109,1910282.121,41.9097883,-87.73640467,"(41.90978830394343, -87.73640466739216)"
CLARK AND IRVING PARK,1091,4000 N CLARK STREET,9/1/2014,2,1166736.15,1926699.324,41.95443244,-87.66244626,"(41.95443244141688, -87.66244625914061)"
4700 WESTERN,2142,4700 S WESTERN AVENUE,7/6/2014,7,1161120.439,1873431.066,41.80837841,-87.68457072,"(41.808378407946726, -87.68457071689552)"
CICERO AND I55,2251,4200 S CICERO AVENUE,7/29/2014,42,1145023.743,1876358.277,41.81672939,-87.74353671,"(41.81672938674739, -87.74353671247594)"
WESTERN AND CHICAGO,1943,2400 W CHICAGO AVE,9/2/2014,2,1160226.687,1905300.905,41.89585104,-87.68696894,"(41.895851041123755, -87.68696893468467)"
WESTERN AND CHICAGO,1941,800 N WESTERN AVE,9/12/2014,1,1160220.968,1905277.507,41.89578696,-87.68699059,"(41.89578695485361, -87.68699058611217)"
COLUMBUS AND ILLINOIS,1952,500 N COLUMBUS DRIVE,8/15/2014,9,1178372.808,1903693.06,41.89104457,-87.62037184,"(41.891044569124276, -87.620371839074)"
CALIFORNIA AND DEVON,1321,6400 N CALIFORNIA AVE,9/6/2014,5,1156461.15,1942370.377,41.99764913,-87.69979263,"(41.997649133049336, -87.69979262891378)"
MILWAUKEE AND DEVON,1274,6400 W DEVON AVENUE,7/20/2014,5,1132590.62,1942138.532,41.99746398,-87.78761024,"(41.99746398102873, -87.78761024341388)"
CORNELL DRIVE AND 57TH,2181,5700 S CORNELL DRIVE,9/26/2014,7,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
ELSTON AND LAWRENCE,1284,4440 W LAWRENCE AVENUE,7/4/2014,3,1145715.061,1931571.047,41.9682264,-87.73959925,"(41.96822639754791, -87.73959925065756)"
COLUMBUS AND ILLINOIS,1952,500 N COLUMBUS DRIVE,7/5/2014,15,1178372.808,1903693.06,41.89104457,-87.62037184,"(41.891044569124276, -87.620371839074)"
CENTRAL AND BELMONT,1602,3200 N CENTRAL AVENUE,9/4/2014,1,1138430.432,1920731.654,41.93861746,-87.7666483,"(41.938617463272884, -87.76664829683827)"
HOMAN/KIMBALL AND NORTH,1773,3400 W NORTH AVE,10/4/2014,12,1153386.579,1910465.871,41.91016285,-87.71195387,"(41.91016284680269, -87.71195386769125)"
LAWRENCE AND WESTERN,1193,2400 W LAWRENCE AVENUE,7/27/2014,5,1159482.649,1931851.989,41.96872435,-87.68896873,"(41.96872434882172, -87.68896872699601)"
STONEY ISLAND AND 79TH,2461,7900 S SOUTH CHICAGO AVE,9/16/2014,1,1188274.655,1852865.686,41.75133971,-87.58563227,"(41.751339704589455, -87.58563226565187)"
HAMLIN AND MADISON,1903,3800 W MADISON STREET,7/6/2014,7,1151032.709,1899784.034,41.88089727,-87.72088123,"(41.880897273491264, -87.72088122613924)"
CALIFORNIA AND PETERSON,1311,6000 N CALIFORNIA AVE,8/26/2014,1,1156545.743,1939775.776,41.99052772,-87.69955208,"(41.990527717148176, -87.69955208405155)"
CICERO AND I55,2251,4200 S CICERO AVENUE,10/5/2014,27,1145023.743,1876358.277,41.81672939,-87.74353671,"(41.81672938674739, -87.74353671247594)"
PULASKI AND ARMITAGE,1843,4000 W ARMITAGE AVENUE,9/7/2014,3,1149375.429,1913028.984,41.91727507,-87.72662275,"(41.91727506940875, -87.72662274644799)"
WESTERN AND NORTH,1853,2400 W NORTH AVE,10/3/2014,1,1160100.839,1910612.783,41.91042986,-87.68728422,"(41.91042986235867, -87.68728422050837)"
LAWRENCE AND WESTERN,1193,2400 W LAWRENCE AVENUE,10/3/2014,2,1159482.649,1931851.989,41.96872435,-87.68896873,"(41.96872434882172, -87.68896872699601)"
PULASKI AND IRVING PARK,1574,4000 W IRVING PARK RD,8/27/2014,1,1148988.728,1926320.955,41.95375687,-87.72769851,"(41.95375687447515, -87.72769851312907)"
111TH AND HALSTED,2422,11100 S HALSTED ST,8/28/2014,4,1172923.658,1831209.044,41.69226312,-87.64252269,"(41.692263123425136, -87.6425226876268)"
WESTERN AND NORTH,1851,1600 N WESTERN AVE,9/21/2014,9,1160077.474,1910605.013,41.91040902,-87.68737027,"(41.91040902362901, -87.687370268401)"
PULASKI AND PETERSON,1263,4000 W PETERSON AVENUE,8/30/2014,1,1148618.56,1939615.134,41.99024419,-87.72871439,"(41.99024418564742, -87.7287143910091)"
LASALLE AND KINZIE,1921,400 N LASALLE,9/2/2014,10,1175028.58,1903002.552,41.88922537,-87.63267412,"(41.88922537162015, -87.63267411498495)"
ELSTON AND ADDISON,1402,3600 N ELSTON AVE,7/6/2014,3,1154106.953,1923731.036,41.94654917,-87.70895263,"(41.94654916480637, -87.70895262603513)"
HAMLIN AND MADISON,1903,3800 W MADISON STREET,9/10/2014,2,1151032.709,1899784.034,41.88089727,-87.72088123,"(41.880897273491264, -87.72088122613924)"
